用例编号,测试模块,用例标题,前置条件,测试步骤,预期结果,实际结果,优先级
TC-011,登录-边界条件,密码包含前导和尾随空格,1. 打开 SauceDemo 登录页,1. 在用户名输入框输入 `standard_user`<br>2. 在密码输入框输入 `secret_sauce`（前1个空格 + `secret_sauce` + 后1个空格）<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。带空格的密码被视为错误密码。,P1
TC-012,登录-边界条件,超长用户名输入,1. 打开 SauceDemo 登录页,1. 在用户名输入框输入 500 个字符的随机字符串<br>2. 在密码输入框输入 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""<br>3. 无系统崩溃、无 500 错误",与预期一致。输入框无 maxlength 限制，500字符完整提交，前端正常处理，无异常崩溃。,P2
TC-013,登录-边界条件,超长密码输入,1. 打开 SauceDemo 登录页,1. 在用户名输入框输入 `standard_user`<br>2. 在密码输入框输入 500 个字符的随机字符串<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""<br>3. 无系统崩溃、无 500 错误",与预期一致。超长密码完整提交，系统正常返回不匹配错误，无异常。,P2
TC-014,登录-边界条件,用户名仅含空格字符,1. 打开 SauceDemo 登录页,1. 用户名输入框输入 5 个空格<br>2. 密码输入框输入 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。纯空格用户名被视为无效输入。,P1
TC-015,登录-边界条件,密码仅含空格字符,1. 打开 SauceDemo 登录页,1. 输入用户名 `standard_user`<br>2. 密码输入框输入 5 个空格<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。,P1
TC-016,登录-安全测试,SQL 注入攻击 — 用户名字段,1. 打开 SauceDemo 登录页,1. 用户名输入 `' OR '1'='1`<br>2. 密码输入任意值<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""<br>3. 无数据库错误信息泄露<br>4. 未绕过认证",与预期一致。注入字符串被当作普通文本处理，未触发任何数据库异常。,P0
TC-017,登录-安全测试,SQL 注入攻击 — 密码字段,1. 打开 SauceDemo 登录页,1. 用户名输入 `standard_user`<br>2. 密码输入 `' OR '1'='1 --`<br>3. 点击【Login】按钮,1. 登录失败，页面停留在登录页<br>2. 无数据库错误信息泄露<br>3. 未绕过认证,与预期一致。,P0
TC-018,登录-安全测试,SQL 注入 — Union Select 攻击,1. 打开 SauceDemo 登录页,1. 用户名输入 `' UNION SELECT * FROM users --`<br>2. 密码输入任意值<br>3. 点击【Login】按钮,1. 登录失败，页面停留在登录页<br>2. 无敏感数据泄露<br>3. 无系统异常崩溃,与预期一致。,P1
TC-019,登录-安全测试,XSS 攻击 — 用户名字段,1. 打开 SauceDemo 登录页,1. 用户名输入 `<script>alert('xss')</script>`<br>2. 密码输入任意值<br>3. 点击【Login】按钮,1. 登录失败，页面停留在登录页<br>2. 错误提示中脚本未执行（无弹窗）<br>3. 输入被转义或过滤，页面源码中不显示可执行脚本,与预期一致。错误提示区域显示转义后的纯文本，无脚本执行。,P0
TC-020,登录-安全测试,XSS 攻击 — 密码字段,1. 打开 SauceDemo 登录页,1. 用户名输入 `standard_user`<br>2. 密码输入 `<img src=x onerror=alert('xss')>`<br>3. 点击【Login】按钮,1. 登录失败，页面停留在登录页<br>2. 无脚本执行，无弹窗<br>3. 输入被转义或过滤,与预期一致。,P0
TC-021,登录-安全测试,HTML 标签注入,1. 打开 SauceDemo 登录页,1. 用户名输入 `<h1>Hacked</h1>`<br>2. 密码输入任意值<br>3. 点击【Login】按钮,1. 登录失败，页面停留在登录页<br>2. 错误提示中 HTML 标签被转义为纯文本显示，不渲染,与预期一致。,P1
TC-022,登录-安全测试,路径遍历/命令注入尝试,1. 打开 SauceDemo 登录页,1. 用户名输入 `../../../etc/passwd`<br>2. 密码输入任意值<br>3. 点击【Login】按钮,1. 登录失败，页面停留在登录页<br>2. 无文件系统错误信息泄露<br>3. 无异常崩溃,与预期一致。,P2
TC-023,登录-安全测试,暴力破解防护 — 连续错误登录,1. 打开 SauceDemo 登录页,1. 使用错误密码连续尝试登录 10 次（用户名：`standard_user`）<br>2. 第 11 次使用正确密码登录,1. 前 10 次均显示错误提示<br>2. 第 11 次使用正确密码仍能成功登录（SauceDemo 无锁定机制，验证此行为）<br>3. 无账户临时锁定提示,与预期一致。SauceDemo 作为演示站点，无暴力破解防护机制，连续错误不影响后续正常登录。,P2
TC-024,登录-安全测试,错误信息不泄露用户名是否存在,1. 打开 SauceDemo 登录页,1. 输入存在的用户名 `standard_user` + 错误密码<br>2. 输入不存在的用户名 `notexist` + 任意密码,"1. 两次错误提示内容完全一致：""Epic sadface: Username and password do not match any user in this service""<br>2. 无法通过错误提示判断用户名是否存在",与预期一致。两种场景错误提示文本完全相同，无信息泄露。,P1
TC-025,登录-UI/交互,密码输入框掩码显示验证,1. 打开 SauceDemo 登录页,1. 在密码输入框输入 `secret_sauce`<br>2. 观察输入内容显示,1. 密码显示为圆点或星号（•••••••••••）<br>2. 明文密码不可见,"与预期一致。密码框 type=""password""，输入内容显示为圆点。",P1
TC-026,登录-UI/交互,键盘 Tab 键导航顺序,1. 打开 SauceDemo 登录页,1. 按 Tab 键依次切换焦点,1. 焦点顺序：用户名输入框 → 密码输入框 → Login 按钮<br>2. 每个元素均能获得焦点并有视觉提示,与预期一致。Tab 键焦点顺序符合从上到下、从左到右的常规布局。,P2
TC-027,登录-UI/交互,在密码输入框按 Enter 键提交表单,1. 打开 SauceDemo 登录页,1. 输入用户名 `standard_user`<br>2. 输入密码 `secret_sauce`<br>3. **在密码输入框按 Enter 键**,1. 表单直接提交，无需多按一次回车<br>2. 登录成功，页面跳转至商品列表页（`/inventory.html`）,与预期一致。焦点在密码框时按 Enter，表单立即提交并跳转至 inventory 页面，无需额外点击登录按钮。,P1
TC-028,登录-UI/交互,错误提示关闭功能,1. 触发任意登录错误（如 TC-003）,1. 点击错误提示右上角的 × 按钮,1. 错误提示消失<br>2. 输入框红色边框恢复为正常状态,与预期一致。点击 × 后错误提示栏收起，输入框红色边框和错误图标消失。,P2
TC-029,登录-兼容性,区分大小写的用户名验证,1. 打开 SauceDemo 登录页,1. 输入用户名 `STANDARD_USER`（大写）<br>2. 输入密码 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。用户名大小写敏感，`STANDARD_USER` 被视为无效用户。,P1
TC-030,登录-兼容性,区分大小写的密码验证,1. 打开 SauceDemo 登录页,1. 输入用户名 `standard_user`<br>2. 输入密码 `SECRET_SAUCE`（大写）<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。密码大小写敏感。,P1
TC-031,登录-场景法,已登录状态下直接访问登录页 URL,1. 已完成 TC-001 登录成功,1. 在地址栏直接输入 `https://www.saucedemo.com/` 并回车,1. 页面自动重定向至商品列表页（`/inventory.html`）<br>2. 不会再次显示登录页,与预期一致。已登录用户访问首页 URL，系统自动重定向至 `https://www.saucedemo.com/inventory.html`。,P1
TC-032,登录-场景法,登出后点击浏览器后退按钮,1. 已完成 TC-001 登录成功<br>2. 点击菜单中的 Logout,1. 点击浏览器后退按钮,1. 页面仍显示登录页，不显示商品列表<br>2. 会话已正确销毁，无法通过后退按钮恢复登录状态,与预期一致。登出后 Session 已清除，后退按钮不会恢复登录态，仍停留在登录页或显示登录页。,P1
TC-033,登录-场景法,未登录直接访问受保护页面,1. 浏览器未登录状态,1. 在地址栏直接输入 `https://www.saucedemo.com/inventory.html`,"1. 页面重定向至登录页<br>2. 显示错误提示：""Epic sadface: You can only access '/inventory.html' when you are logged in.""",与预期一致。未认证访问受保护页面被拦截，重定向至登录页并显示权限不足提示。,P0
